Date,CU_Cathode_FM,CU_Cathode_US_DOM,CU_Cathode_RSA,CU_Cathode_Rotterdam,CU_Cathode_Germany,CU_Cathode_Shangai,CU_Cathode_Japan,CU_Cathode_Taiwan,CU_Cathode_Seasia,Currency,Unit_of_Measure
2010-09-29,0.00186,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-09-30,0.00185,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-01,0.00187,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-04,0.00186,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-05,0.00189,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-06,0.0019,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-07,0.00186,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-08,0.00191,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-11,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-12,0.00192,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-13,0.00193,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-14,0.00193,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-10-15,0.00194,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-19,0.00106,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-20,0.00108,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-21,0.00105,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-22,0.00108,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-25,0.00108,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-26,0.0011,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
