Date,Currency,Unit_of_Measure,copper_price
2008-01-03,us dollar,tonne,6765
2008-01-04,us dollar,tonne,6990.5
2008-01-07,us dollar,tonne,6915.5
2008-01-08,us dollar,tonne,7106
2008-01-09,us dollar,tonne,7351
2008-01-10,us dollar,tonne,7120.5
2008-01-11,us dollar,tonne,7196
2008-01-14,us dollar,tonne,7361
2009-05-26,us dollar,tonne,4538
2009-05-27,us dollar,tonne,4661
2009-05-28,us dollar,tonne,4637
2009-05-29,us dollar,tonne,4776
2009-06-01,us dollar,tonne,4947
2009-06-02,us dollar,tonne,5026
2009-06-03,us dollar,tonne,4952
2009-06-04,us dollar,tonne,4870
2009-06-05,us dollar,tonne,5055
2009-06-08,us dollar,tonne,4936
2009-06-09,us dollar,tonne,5047
2009-06-10,us dollar,tonne,5180
2009-06-11,us dollar,tonne,5266
2009-06-12,us dollar,tonne,5240
2009-06-15,us dollar,tonne,5075
2009-06-16,us dollar,tonne,5049
2009-06-17,us dollar,tonne,4903
2009-06-18,us dollar,tonne,4901
2009-06-19,us dollar,tonne,5020
2009-06-22,us dollar,tonne,4821
2009-06-23,us dollar,tonne,4810
2009-06-24,us dollar,tonne,4891
2009-06-25,us dollar,tonne,5024
2009-06-26,us dollar,tonne,5101.5
2009-06-29,us dollar,tonne,5086
2009-06-30,us dollar,tonne,5108
2009-07-01,us dollar,tonne,5042
2009-07-02,us dollar,tonne,5006
2009-07-03,us dollar,tonne,4991
2009-07-06,us dollar,tonne,4859
2009-07-07,us dollar,tonne,5012
2009-07-08,us dollar,tonne,4850
2009-07-09,us dollar,tonne,4821
2009-07-10,us dollar,tonne,4840
2009-07-13,us dollar,tonne,4883
2009-07-14,us dollar,tonne,5011
2009-07-15,us dollar,tonne,5182
2009-07-16,us dollar,tonne,5232
2009-07-17,us dollar,tonne,5230
2009-07-20,us dollar,tonne,5400
2009-07-21,us dollar,tonne,5345
2009-07-22,us dollar,tonne,5342
2009-07-23,us dollar,tonne,5474
2009-07-24,us dollar,tonne,5551
2009-07-27,us dollar,tonne,5615
2009-07-28,us dollar,tonne,5615
2009-07-29,us dollar,tonne,5411
2009-07-30,us dollar,tonne,5497
2009-07-31,us dollar,tonne,5750
2009-08-03,us dollar,tonne,5972
2009-08-04,us dollar,tonne,5917
2009-08-05,us dollar,tonne,6132
2009-08-06,us dollar,tonne,6035
2009-08-07,us dollar,tonne,5964
2009-08-10,us dollar,tonne,6197
2009-08-11,us dollar,tonne,6136
2009-08-12,us dollar,tonne,6029
2009-08-13,us dollar,tonne,6419
2009-08-14,us dollar,tonne,6386
2009-08-17,us dollar,tonne,6096
2009-08-18,us dollar,tonne,6116
2009-08-19,us dollar,tonne,5947
2009-08-20,us dollar,tonne,6122
2009-08-21,us dollar,tonne,6135
2009-08-24,us dollar,tonne,6361
2009-08-25,us dollar,tonne,6285.5
2009-08-26,us dollar,tonne,6305
2009-08-27,us dollar,tonne,6261
2009-08-28,us dollar,tonne,6490.5
2009-09-01,us dollar,tonne,6240.5
2009-09-02,us dollar,tonne,6080
2009-09-03,us dollar,tonne,6280
2009-09-04,us dollar,tonne,6280
2009-09-07,us dollar,tonne,6297.5
2009-09-08,us dollar,tonne,6466
2009-09-09,us dollar,tonne,6415.5
2009-09-10,us dollar,tonne,6305
2009-09-11,us dollar,tonne,6290
2009-09-14,us dollar,tonne,6145
2009-09-15,us dollar,tonne,6156
2009-09-16,us dollar,tonne,6316
2009-09-17,us dollar,tonne,6302
2009-09-18,us dollar,tonne,6231
2009-09-21,us dollar,tonne,6089
2009-09-22,us dollar,tonne,6295.5
2009-09-23,us dollar,tonne,6111
2009-09-24,us dollar,tonne,6090
2009-09-25,us dollar,tonne,5966
2009-09-28,us dollar,tonne,5896
2009-09-29,us dollar,tonne,5935
2009-09-30,us dollar,tonne,6136
2009-10-01,us dollar,tonne,6082
2009-10-02,us dollar,tonne,5872
2009-10-05,us dollar,tonne,5856
2009-10-06,us dollar,tonne,6042
2009-10-07,us dollar,tonne,6061
2009-10-08,us dollar,tonne,6242
2009-10-09,us dollar,tonne,6265.5
2009-10-12,us dollar,tonne,6236
2009-10-13,us dollar,tonne,6282
2009-10-14,us dollar,tonne,6192
2009-10-15,us dollar,tonne,6077
2009-10-16,us dollar,tonne,6161
2009-10-19,us dollar,tonne,6260
2009-10-20,us dollar,tonne,6444
2009-10-21,us dollar,tonne,6346
2009-10-22,us dollar,tonne,6566
2009-10-23,us dollar,tonne,6640
2009-10-26,us dollar,tonne,6675.5
2009-10-27,us dollar,tonne,6563
2009-10-28,us dollar,tonne,6475
2009-10-29,us dollar,tonne,6425
2009-10-30,us dollar,tonne,6575
2009-11-02,us dollar,tonne,6473
2009-11-03,us dollar,tonne,6396
2009-11-04,us dollar,tonne,6571
2009-11-05,us dollar,tonne,6528
2009-11-06,us dollar,tonne,6532
2009-11-09,us dollar,tonne,6565
2009-11-10,us dollar,tonne,6475
2009-11-11,us dollar,tonne,6596
2009-11-12,us dollar,tonne,6475
2009-11-13,us dollar,tonne,6500
2009-11-16,us dollar,tonne,6701
2009-11-17,us dollar,tonne,6161
2009-11-18,us dollar,tonne,6926
2009-11-19,us dollar,tonne,6761
2009-11-20,us dollar,tonne,6731
2009-11-23,us dollar,tonne,6945.5
2009-11-24,us dollar,tonne,6895
2009-11-25,us dollar,tonne,6891
2009-11-26,us dollar,tonne,6905
2009-11-27,us dollar,tonne,6755
2009-11-30,us dollar,tonne,6814.5
2009-12-01,us dollar,tonne,6990
2009-12-02,us dollar,tonne,7055
2009-12-03,us dollar,tonne,7071
2009-12-04,us dollar,tonne,7026
2009-12-07,us dollar,tonne,6920
2009-12-08,us dollar,tonne,6961
2009-12-09,us dollar,tonne,6935
2009-12-10,us dollar,tonne,6810
2009-12-11,us dollar,tonne,6871
2009-12-14,us dollar,tonne,6920
2009-12-15,us dollar,tonne,6801
2009-12-16,us dollar,tonne,6946
2009-12-17,us dollar,tonne,6901
2009-12-18,us dollar,tonne,6841
2009-12-21,us dollar,tonne,6880
2009-12-22,us dollar,tonne,6856
2009-12-23,us dollar,tonne,6901
2009-12-24,us dollar,tonne,7070
2009-12-29,us dollar,tonne,7221
2009-12-30,us dollar,tonne,7295
2009-12-31,us dollar,tonne,7346
2010-01-04,us dollar,tonne,7464
2010-01-05,us dollar,tonne,7436
2010-01-06,us dollar,tonne,7588
2010-01-07,us dollar,tonne,7594
2010-01-08,us dollar,tonne,7446
2010-01-11,us dollar,tonne,7685
2010-01-12,us dollar,tonne,7425
2010-01-13,us dollar,tonne,7391
2010-01-14,us dollar,tonne,7454
2010-01-15,us dollar,tonne,7401
2010-01-18,us dollar,tonne,7507
2010-01-19,us dollar,tonne,7442
2010-01-20,us dollar,tonne,7446
2010-01-21,us dollar,tonne,7347
2010-01-22,us dollar,tonne,7240
2010-01-25,us dollar,tonne,7409
2011-06-07,us dollar,tonne,9092
2011-06-08,us dollar,tonne,8970.5
2011-06-09,us dollar,tonne,8950.5
2011-06-10,us dollar,tonne,9000.5
2011-06-13,us dollar,tonne,8895
2011-06-14,us dollar,tonne,9010
2011-06-15,us dollar,tonne,9147
2011-06-16,us dollar,tonne,9011.5
2011-06-17,us dollar,tonne,9101.5
2011-06-20,us dollar,tonne,8935
2011-06-21,us dollar,tonne,9060
2011-06-22,us dollar,tonne,9007
2011-06-23,us dollar,tonne,8978
2011-06-24,us dollar,tonne,9045
2011-06-27,us dollar,tonne,9000.5
2011-06-28,us dollar,tonne,8995.5
2011-06-29,us dollar,tonne,9176
2011-06-30,us dollar,tonne,9301
2011-07-01,us dollar,tonne,9405
2011-07-04,us dollar,tonne,9411
2011-07-05,us dollar,tonne,9405.5
2011-07-06,us dollar,tonne,9432
2011-07-07,us dollar,tonne,9537
2011-07-08,us dollar,tonne,9713
2011-07-11,us dollar,tonne,9556
2011-07-12,us dollar,tonne,9500.5
2011-07-13,us dollar,tonne,9658.5
2011-07-14,us dollar,tonne,9655
2011-07-15,us dollar,tonne,9606
2011-07-18,us dollar,tonne,9690
2011-07-19,us dollar,tonne,9755
2011-07-20,us dollar,tonne,9765.5
2011-07-21,us dollar,tonne,9607
2011-07-22,us dollar,tonne,9698
2011-07-25,us dollar,tonne,9620
2011-07-26,us dollar,tonne,9778
2011-07-27,us dollar,tonne,9736
2011-07-28,us dollar,tonne,9744
2011-07-29,us dollar,tonne,9731
2011-08-01,us dollar,tonne,9827
2011-08-02,us dollar,tonne,9630
2011-08-03,us dollar,tonne,9549.5
2011-08-04,us dollar,tonne,9452
2011-08-05,us dollar,tonne,9190
2011-08-08,us dollar,tonne,9039
2011-08-09,us dollar,tonne,8851
2011-08-10,us dollar,tonne,8853.5
2011-08-11,us dollar,tonne,8802
2011-08-12,us dollar,tonne,8851
2011-08-15,us dollar,tonne,8824
2011-08-16,us dollar,tonne,8760
2011-08-17,us dollar,tonne,8870
2011-08-18,us dollar,tonne,8803
2011-08-19,us dollar,tonne,8781.5
2011-08-22,us dollar,tonne,8811.5
2011-08-23,us dollar,tonne,8858.5
2011-08-24,us dollar,tonne,8832
2011-08-25,us dollar,tonne,8907.5
2011-08-26,us dollar,tonne,9090.5
2011-08-30,us dollar,tonne,9128
2011-08-31,us dollar,tonne,9197
2011-09-01,us dollar,tonne,9101
2011-09-02,us dollar,tonne,9050.5
2011-09-05,us dollar,tonne,8935
2011-09-06,us dollar,tonne,8919.5
2011-09-07,us dollar,tonne,8970.5
2011-09-08,us dollar,tonne,9041
2011-09-09,us dollar,tonne,8904.5
2011-09-12,us dollar,tonne,8645.5
2011-09-13,us dollar,tonne,8757.5
2011-09-14,us dollar,tonne,8719.5
2011-09-15,us dollar,tonne,8709.5
2011-09-16,us dollar,tonne,8781.5
2011-09-19,us dollar,tonne,8415
2011-09-20,us dollar,tonne,8397.5
2011-09-21,us dollar,tonne,8221
2011-09-22,us dollar,tonne,7790.5
2011-09-23,us dollar,tonne,7290
2011-09-26,us dollar,tonne,7226
2011-09-27,us dollar,tonne,7528
2011-09-28,us dollar,tonne,7416
2011-09-29,us dollar,tonne,6975.5
2011-09-30,us dollar,tonne,7131.5
2011-10-03,us dollar,tonne,6765
2011-10-04,us dollar,tonne,6785
2011-10-05,us dollar,tonne,6860.5
2011-10-06,us dollar,tonne,7095.5
2011-10-07,us dollar,tonne,7250
2011-10-10,us dollar,tonne,7314
2011-10-11,us dollar,tonne,7215.5
2011-10-12,us dollar,tonne,7419
2011-10-13,us dollar,tonne,7328
2011-10-14,us dollar,tonne,7500.5
2011-10-17,us dollar,tonne,7566
2011-10-18,us dollar,tonne,7271
2011-10-19,us dollar,tonne,7305.5
2011-10-20,us dollar,tonne,6916.5
2011-10-21,us dollar,tonne,7062
2011-10-24,us dollar,tonne,7380.5
2011-10-25,us dollar,tonne,7590.5
2011-10-26,us dollar,tonne,7720.5
2011-10-27,us dollar,tonne,8040
2011-10-28,us dollar,tonne,7981.5
2011-10-31,us dollar,tonne,7900.5
2011-11-01,us dollar,tonne,7660
2011-11-02,us dollar,tonne,7912
2011-11-03,us dollar,tonne,7845
2011-11-04,us dollar,tonne,7930
2011-11-07,us dollar,tonne,7775.5
2011-11-08,us dollar,tonne,7820.5
2011-11-09,us dollar,tonne,7672
2011-11-10,us dollar,tonne,7456
2011-11-11,us dollar,tonne,7451
2011-11-14,us dollar,tonne,7731.5
2011-11-15,us dollar,tonne,7632
2011-11-16,us dollar,tonne,7592
2011-11-17,us dollar,tonne,7501.5
2011-11-18,us dollar,tonne,7582.5
2011-11-21,us dollar,tonne,7301
2011-11-22,us dollar,tonne,7398
2011-11-23,us dollar,tonne,7176
2011-11-24,us dollar,tonne,7271.5
2011-11-25,us dollar,tonne,7196.5
2011-11-28,us dollar,tonne,7381
2011-11-29,us dollar,tonne,7448
2011-11-30,us dollar,tonne,7405.5
2011-12-01,us dollar,tonne,7801
2011-12-02,us dollar,tonne,7890
2011-12-05,us dollar,tonne,7845
2011-12-06,us dollar,tonne,7766
2011-12-07,us dollar,tonne,7809
2011-12-08,us dollar,tonne,7800.5
2011-12-09,us dollar,tonne,7800.5
2011-12-12,us dollar,tonne,7611.5
2011-12-13,us dollar,tonne,7586
2011-12-14,us dollar,tonne,7264
2011-12-15,us dollar,tonne,7264
2011-12-16,us dollar,tonne,7340
2011-12-19,us dollar,tonne,7286.5
2011-12-20,us dollar,tonne,7275
2011-12-21,us dollar,tonne,7415.5
2011-12-22,us dollar,tonne,7492.5
2011-12-23,us dollar,tonne,7590
2011-12-28,us dollar,tonne,7502
2011-12-29,us dollar,tonne,7372
2011-12-30,us dollar,tonne,7554
2012-01-03,us dollar,tonne,7661
2012-01-04,us dollar,tonne,7652
2012-01-05,us dollar,tonne,7471
2012-01-06,us dollar,tonne,7515
2012-01-09,us dollar,tonne,7503
2012-01-10,us dollar,tonne,7641
2012-01-11,us dollar,tonne,7689.5
2012-01-12,us dollar,tonne,7946
2012-01-13,us dollar,tonne,7965.5
2012-01-16,us dollar,tonne,8021
2012-01-17,us dollar,tonne,8185
2012-01-18,us dollar,tonne,8156
2012-01-19,us dollar,tonne,8350.5
2012-01-20,us dollar,tonne,8230.5
2012-01-23,us dollar,tonne,8333
2012-01-24,us dollar,tonne,8267
2012-01-25,us dollar,tonne,8271
2012-01-26,us dollar,tonne,8560
2012-01-27,us dollar,tonne,8610
2012-01-30,us dollar,tonne,8399
2012-01-31,us dollar,tonne,8485.5
2012-02-01,us dollar,tonne,8351.5
2012-02-02,us dollar,tonne,8339
2012-02-03,us dollar,tonne,8320
2012-02-06,us dollar,tonne,8463
2013-06-19,us dollar,tonne,6972.5
2013-06-20,us dollar,tonne,6808
2013-06-21,us dollar,tonne,6777
2013-06-24,us dollar,tonne,6637.5
2013-06-25,us dollar,tonne,6726.5
2013-06-26,us dollar,tonne,6685.5
2013-06-27,us dollar,tonne,6705.5
2013-06-28,us dollar,tonne,6750.5
2013-07-01,us dollar,tonne,6917
2013-07-02,us dollar,tonne,6980
2013-07-03,us dollar,tonne,6922
2013-07-04,us dollar,tonne,6920.5
2013-07-05,us dollar,tonne,6821
2013-07-08,us dollar,tonne,6765
2013-07-09,us dollar,tonne,6719
2013-07-10,us dollar,tonne,6780
2013-07-11,us dollar,tonne,6995.5
2013-07-12,us dollar,tonne,6923
2013-07-15,us dollar,tonne,6891.5
2013-07-16,us dollar,tonne,6936.5
2013-07-17,us dollar,tonne,6924
2013-07-18,us dollar,tonne,6855.5
2013-07-19,us dollar,tonne,6920
2013-07-22,us dollar,tonne,6980
2013-07-23,us dollar,tonne,6961
2013-07-24,us dollar,tonne,7076.5
2013-07-25,us dollar,tonne,6927.5
2013-07-26,us dollar,tonne,6905.5
2013-07-29,us dollar,tonne,6860.5
2013-07-30,us dollar,tonne,6752
2013-07-31,us dollar,tonne,6805
2013-08-01,us dollar,tonne,6999
2013-08-02,us dollar,tonne,7019
2013-08-05,us dollar,tonne,6950.5
2013-08-06,us dollar,tonne,7026.5
2013-08-07,us dollar,tonne,6892
2013-08-08,us dollar,tonne,7121.5
2013-08-09,us dollar,tonne,7186
2013-08-12,us dollar,tonne,7246
2013-08-13,us dollar,tonne,7281
2013-08-14,us dollar,tonne,7272.5
2013-08-15,us dollar,tonne,7228
2013-08-16,us dollar,tonne,7335.5
2013-08-19,us dollar,tonne,7285.5
2013-08-20,us dollar,tonne,7265.5
2013-08-21,us dollar,tonne,7236
2013-08-22,us dollar,tonne,7340.5
2013-08-23,us dollar,tonne,7300.5
2013-08-26,us dollar,tonne,7300.5
2013-08-27,us dollar,tonne,7300.5
2013-08-28,us dollar,tonne,7236
2013-08-29,us dollar,tonne,7210.5
2013-08-30,us dollar,tonne,7095
2013-09-02,us dollar,tonne,7175.5
2013-09-03,us dollar,tonne,7183.5
2013-09-04,us dollar,tonne,7125.5
2013-09-05,us dollar,tonne,7103
2013-09-06,us dollar,tonne,7170.5
2013-09-09,us dollar,tonne,7191.5
2013-09-10,us dollar,tonne,7172
2013-09-11,us dollar,tonne,7163
2013-09-12,us dollar,tonne,7043.5
2013-09-13,us dollar,tonne,7028.5
2013-09-16,us dollar,tonne,7050
2013-09-17,us dollar,tonne,7056.5
2013-09-18,us dollar,tonne,7090.5
2013-09-19,us dollar,tonne,7301.5
2013-09-20,us dollar,tonne,7295
2013-09-23,us dollar,tonne,7181
2013-09-24,us dollar,tonne,7140.5
2013-09-25,us dollar,tonne,7155
2013-09-26,us dollar,tonne,7220.5
2013-09-27,us dollar,tonne,7252.5
2013-09-30,us dollar,tonne,7290.5
2013-10-01,us dollar,tonne,7219
2013-10-02,us dollar,tonne,7156
2013-10-03,us dollar,tonne,7215.5
2013-10-04,us dollar,tonne,7148
2013-10-07,us dollar,tonne,7171
2013-10-08,us dollar,tonne,7231.5
2013-10-09,us dollar,tonne,7141
2013-10-10,us dollar,tonne,7112.5
2013-10-11,us dollar,tonne,7125
2013-10-14,us dollar,tonne,7205.5
2013-10-15,us dollar,tonne,7186
2013-10-16,us dollar,tonne,7158.5
2013-10-17,us dollar,tonne,7172
2013-10-18,us dollar,tonne,7241.5
2013-10-21,us dollar,tonne,7225.5
2013-10-22,us dollar,tonne,7260
2013-10-23,us dollar,tonne,7200.5
2013-10-24,us dollar,tonne,7160
2013-10-25,us dollar,tonne,7126
2013-10-28,us dollar,tonne,7161
2013-10-29,us dollar,tonne,7215.5
2013-10-30,us dollar,tonne,7275.5
2013-10-31,us dollar,tonne,7234
2013-11-01,us dollar,tonne,7255.5
2013-11-04,us dollar,tonne,7180
2013-11-05,us dollar,tonne,7138.5
2013-11-06,us dollar,tonne,7200
2013-11-07,us dollar,tonne,7119
2013-11-08,us dollar,tonne,7125.5
2013-11-11,us dollar,tonne,7135
2013-11-12,us dollar,tonne,7124
2013-11-13,us dollar,tonne,7021.5
2013-11-14,us dollar,tonne,6939
2013-11-15,us dollar,tonne,6967.5
2013-11-18,us dollar,tonne,6999.5
2013-11-19,us dollar,tonne,6947
2013-11-20,us dollar,tonne,6980
2013-11-21,us dollar,tonne,6992
2013-11-22,us dollar,tonne,7065.5
2013-11-25,us dollar,tonne,7067.5
2013-11-26,us dollar,tonne,7071
2013-11-27,us dollar,tonne,7051.5
2013-11-28,us dollar,tonne,6988
2013-11-29,us dollar,tonne,7027
2013-12-02,us dollar,tonne,7008.5
2013-12-03,us dollar,tonne,6945
2013-12-04,us dollar,tonne,6975
2013-12-05,us dollar,tonne,7081
2013-12-06,us dollar,tonne,7113
2013-12-09,us dollar,tonne,7141
2013-12-10,us dollar,tonne,7165.5
2013-12-11,us dollar,tonne,7169.5
2013-12-12,us dollar,tonne,7230
2013-12-13,us dollar,tonne,7218.5
2013-12-16,us dollar,tonne,7325.5
2013-12-17,us dollar,tonne,7286
2013-12-18,us dollar,tonne,7230
2013-12-19,us dollar,tonne,7218.5
2013-12-20,us dollar,tonne,7264.5
2013-12-23,us dollar,tonne,7251
2013-12-24,us dollar,tonne,7280
2013-12-27,us dollar,tonne,7375
2013-12-30,us dollar,tonne,7387
2013-12-31,us dollar,tonne,7394.5
2014-01-02,us dollar,tonne,7439.5
2014-01-03,us dollar,tonne,7335.5
2014-01-06,us dollar,tonne,7313.5
2014-01-07,us dollar,tonne,7354
2014-01-08,us dollar,tonne,7368
2014-01-09,us dollar,tonne,7282
2014-01-10,us dollar,tonne,7283.5
2014-01-13,us dollar,tonne,7305.5
2014-01-14,us dollar,tonne,7343
2014-01-15,us dollar,tonne,7309
2014-01-16,us dollar,tonne,7345.5
2014-01-17,us dollar,tonne,7379.5
2014-01-20,us dollar,tonne,7340
2014-01-21,us dollar,tonne,7332
2014-01-22,us dollar,tonne,7327
2014-01-23,us dollar,tonne,7285
2014-01-24,us dollar,tonne,7240
2014-01-27,us dollar,tonne,7235
2014-01-28,us dollar,tonne,7215
2014-01-29,us dollar,tonne,7209
2014-01-30,us dollar,tonne,7155
2014-01-31,us dollar,tonne,7091
2014-02-03,us dollar,tonne,7095.5
2014-02-04,us dollar,tonne,7107
2014-02-05,us dollar,tonne,7096
2014-02-06,us dollar,tonne,7109
2014-02-07,us dollar,tonne,7200
2014-02-10,us dollar,tonne,7190.5
2014-02-11,us dollar,tonne,7120
2014-02-12,us dollar,tonne,7174.5
2014-02-13,us dollar,tonne,7157
2014-02-14,us dollar,tonne,7175.5
2014-02-17,us dollar,tonne,7210
2014-10-23,us dollar,tonne,6718.5
2017-06-15,us dollar,tonne,5637
2017-06-16,us dollar,tonne,5655.5
2017-06-19,us dollar,tonne,5687
2017-06-20,us dollar,tonne,5673.5
2017-06-21,us dollar,tonne,5650
2017-06-22,us dollar,tonne,5736
2017-06-23,us dollar,tonne,5774
2017-06-26,us dollar,tonne,5771
2017-06-27,us dollar,tonne,5789
2017-06-28,us dollar,tonne,5822
2017-06-29,us dollar,tonne,5905.5
2017-06-30,us dollar,tonne,5907.5
2017-07-03,us dollar,tonne,5894
2017-07-04,us dollar,tonne,5847
2017-07-05,us dollar,tonne,5818
2017-07-06,us dollar,tonne,5828.5
2017-07-07,us dollar,tonne,5809
2017-07-10,us dollar,tonne,5780
2017-07-11,us dollar,tonne,5795
2017-07-12,us dollar,tonne,5882.5
2017-07-13,us dollar,tonne,5902
2017-07-14,us dollar,tonne,5858
2017-07-17,us dollar,tonne,5965.5
2017-07-18,us dollar,tonne,5940.5
2017-07-19,us dollar,tonne,5956
2017-07-20,us dollar,tonne,5930
2017-07-21,us dollar,tonne,6001.5
2017-07-24,us dollar,tonne,6000
2017-07-25,us dollar,tonne,6150
2017-07-26,us dollar,tonne,6238
2017-07-27,us dollar,tonne,6325
2017-07-28,us dollar,tonne,6283
2017-07-31,us dollar,tonne,6347
2017-08-01,us dollar,tonne,6300.5
2017-08-02,us dollar,tonne,6300
2017-08-03,us dollar,tonne,6290
2017-08-04,us dollar,tonne,6330
2017-08-07,us dollar,tonne,6333
2017-08-08,us dollar,tonne,6364
2017-08-09,us dollar,tonne,6465
2017-08-10,us dollar,tonne,6416.5
2017-08-11,us dollar,tonne,6353.5
2017-08-14,us dollar,tonne,6351
2017-08-15,us dollar,tonne,6382
2017-08-16,us dollar,tonne,6433
2017-08-17,us dollar,tonne,6460
2017-08-18,us dollar,tonne,6453
2017-08-21,us dollar,tonne,6514.5
2017-08-22,us dollar,tonne,6584
2017-08-23,us dollar,tonne,6555
2017-08-24,us dollar,tonne,6577
2017-08-25,us dollar,tonne,6714
2017-08-29,us dollar,tonne,6797
2017-08-30,us dollar,tonne,6755
2017-08-31,us dollar,tonne,6792
2017-09-01,us dollar,tonne,6776
2017-09-04,us dollar,tonne,6873
2017-09-05,us dollar,tonne,6904
2017-09-06,us dollar,tonne,6864
2017-09-07,us dollar,tonne,6842.5
2017-09-08,us dollar,tonne,6780
2017-09-11,us dollar,tonne,6737
2017-09-12,us dollar,tonne,6601.5
2017-09-13,us dollar,tonne,6527
2017-09-14,us dollar,tonne,6527
2017-09-15,us dollar,tonne,6527
2017-09-18,us dollar,tonne,6487
2017-09-19,us dollar,tonne,6492
2017-09-20,us dollar,tonne,6520
2017-09-21,us dollar,tonne,6407.5
2017-09-22,us dollar,tonne,6405
2017-09-25,us dollar,tonne,6416
2017-09-26,us dollar,tonne,6423
2017-09-27,us dollar,tonne,6426
2017-09-28,us dollar,tonne,6405
2017-09-29,us dollar,tonne,6485
2017-10-02,us dollar,tonne,6446.25
2017-10-03,us dollar,tonne,6468.75
2017-10-04,us dollar,tonne,6471.25
2017-10-05,us dollar,tonne,6658.25
2017-10-06,us dollar,tonne,6616.5
2017-10-09,us dollar,tonne,6615.25
2017-10-10,us dollar,tonne,6706.25
2017-10-11,us dollar,tonne,6756
2017-10-12,us dollar,tonne,6861.25
2017-10-13,us dollar,tonne,6859
2017-10-16,us dollar,tonne,7122
2017-10-17,us dollar,tonne,6996
2017-10-18,us dollar,tonne,6949
2017-10-19,us dollar,tonne,6934
2017-10-20,us dollar,tonne,6921.5
2017-10-23,us dollar,tonne,6975.25
2017-10-24,us dollar,tonne,7009.75
2017-10-25,us dollar,tonne,6983.75
2017-10-26,us dollar,tonne,6961
2017-10-27,us dollar,tonne,6800.5
2017-10-30,us dollar,tonne,6839
2017-10-31,us dollar,tonne,6816.75
2017-11-01,us dollar,tonne,6898.75
2017-11-02,us dollar,tonne,6898
2017-11-03,us dollar,tonne,6864.5
2017-11-06,us dollar,tonne,6937
2017-11-07,us dollar,tonne,6792.75
2017-11-08,us dollar,tonne,6825.5
2017-11-09,us dollar,tonne,6778
2017-11-10,us dollar,tonne,6753.75
2017-11-13,us dollar,tonne,6860.75
2017-11-14,us dollar,tonne,6720
2017-11-15,us dollar,tonne,6736.25
2017-11-16,us dollar,tonne,6702.75
2017-11-17,us dollar,tonne,6743.5
2017-11-20,us dollar,tonne,6752
2017-11-21,us dollar,tonne,6828
2017-11-22,us dollar,tonne,6872.5
2017-11-23,us dollar,tonne,6895.5
2017-11-24,us dollar,tonne,6967.5
2017-11-27,us dollar,tonne,6892
2017-11-28,us dollar,tonne,6800
2017-11-29,us dollar,tonne,6756.5
2017-11-30,us dollar,tonne,6761
2017-12-01,us dollar,tonne,6734
2017-12-04,us dollar,tonne,6807
2017-12-05,us dollar,tonne,6645
2017-12-06,us dollar,tonne,6539
2017-12-07,us dollar,tonne,6530.5
2017-12-08,us dollar,tonne,6538.5
2017-12-11,us dollar,tonne,6547.5
2017-12-12,us dollar,tonne,6614
2017-12-13,us dollar,tonne,6685
2017-12-14,us dollar,tonne,6723
2017-12-15,us dollar,tonne,6735.5
2017-12-18,us dollar,tonne,6844
2017-12-19,us dollar,tonne,6845
2017-12-20,us dollar,tonne,6925
2017-12-21,us dollar,tonne,6977
2017-12-22,us dollar,tonne,7019
2017-12-27,us dollar,tonne,7140
2017-12-28,us dollar,tonne,7216
2017-12-29,us dollar,tonne,7157
2018-01-02,us dollar,tonne,7181
2018-01-03,us dollar,tonne,7115.5
2018-01-04,us dollar,tonne,7202.5
2018-01-05,us dollar,tonne,7097
2018-01-08,us dollar,tonne,7084.5
2018-01-09,us dollar,tonne,7092
2018-01-10,us dollar,tonne,7140.5
2018-01-11,us dollar,tonne,7123
2018-01-12,us dollar,tonne,7070.5
2018-01-15,us dollar,tonne,7180
2018-01-16,us dollar,tonne,7023
2018-01-17,us dollar,tonne,7047
2018-01-18,us dollar,tonne,7047
2018-01-19,us dollar,tonne,7079
2018-01-22,us dollar,tonne,7049
2018-01-23,us dollar,tonne,6905
2018-01-24,us dollar,tonne,6943
2018-01-25,us dollar,tonne,7112
2018-01-26,us dollar,tonne,7063.5
2018-01-29,us dollar,tonne,7062
2018-01-30,us dollar,tonne,7049
2018-01-31,us dollar,tonne,7100.5
2018-02-01,us dollar,tonne,7027
2018-02-02,us dollar,tonne,7066
2018-02-05,us dollar,tonne,7050
2018-02-06,us dollar,tonne,7060
2018-02-07,us dollar,tonne,7006
2018-02-08,us dollar,tonne,6838
2018-02-09,us dollar,tonne,6755
2018-02-12,us dollar,tonne,6786.5
2018-02-13,us dollar,tonne,6908
2018-02-14,us dollar,tonne,6962
2018-02-15,us dollar,tonne,7098
2018-02-16,us dollar,tonne,7159
2018-02-19,us dollar,tonne,7093
2018-02-20,us dollar,tonne,7027
2018-02-21,us dollar,tonne,7003
2018-02-22,us dollar,tonne,7032
2018-02-23,us dollar,tonne,7073.5
2018-02-26,us dollar,tonne,7111
2018-02-27,us dollar,tonne,7028
2018-02-28,us dollar,tonne,6953
2018-03-01,us dollar,tonne,6852
2018-03-02,us dollar,tonne,6883
2018-03-05,us dollar,tonne,6850
2018-03-06,us dollar,tonne,6968.5
2018-03-07,us dollar,tonne,6873
2018-03-08,us dollar,tonne,6830
2018-03-09,us dollar,tonne,6808
2018-03-12,us dollar,tonne,6857
2018-03-13,us dollar,tonne,6883
2018-03-14,us dollar,tonne,7015
