level_0,index,,,CU_Cathode_FM_x,CU_Cathode_US_DOM_x,CU_Cathode_RSA_x,CU_Cathode_Rotterdam_x,CU_Cathode_Germany_x,CU_Cathode_Shangai_x,CU_Cathode_Japan_x,CU_Cathode_Taiwan_x,CU_Cathode_Seasia_x,Heavy_CU_Wire_1_x,Heavy_CU_Wire_2_x,Redbrass_Scrap_x,Yellowbrass_Scrap_x,Cu_Wire_Barley_x,Cu_Wire_Berry_x,Heavy_CU_Scrap_x,Cu_Wire_Scrap_x,Production_x,Consumption_x,CU_Concentrate_TC_x,CU_Concentrate_RC_x,CU_Cathode_FM_y,CU_Cathode_US_DOM_y,CU_Cathode_RSA_y,CU_Cathode_Rotterdam_y,CU_Cathode_Germany_y,CU_Cathode_Shangai_y,CU_Cathode_Japan_y,CU_Cathode_Taiwan_y,CU_Cathode_Seasia_y,Heavy_CU_Wire_1_y,Heavy_CU_Wire_2_y,Redbrass_Scrap_y,Yellowbrass_Scrap_y,Cu_Wire_Barley_y,Cu_Wire_Berry_y,Heavy_CU_Scrap_y,Cu_Wire_Scrap_y,Production_y,Consumption_y,CU_Concentrate_TC_y,CU_Concentrate_RC_y,,,Date,copper_price,pred_price,Error
247,247,,,0.001426,0.0008,90327.61,47,92.5,107.5,85,84.5,90,0.00094,0.00101,0.00101,0.000826,0.001346,0.001318,0.001306,0.0012,6434,6615,86.4,8.64,0.001426,0.0008,90327.61,47,92.5,107.5,85,84.5,90,0.00094,0.00101,0.00101,0.000826,0.001346,0.001318,0.001306,0.0012,6434,6615,86.4,8.64,,,30-09-2018,6242.6,6083.080165,159.52
248,248,,,0.001424,0.0008,91643.418,47.5,92.5,102.1,85,85,86,0.00094,0.00101,0.00101,0.000836,0.001352,0.001314,0.001308,0.001204,6434,6615,86.4,8.64,0.001424,0.0008,91643.418,47.5,92.5,102.1,85,85,86,0.00094,0.00101,0.00101,0.000836,0.001352,0.001314,0.001308,0.001204,,,86.4,8.64,,,07-10-2018,6129.7,6074.887879,54.81
249,249,,,0.001418,0.0008,89199.096,47.5,92.5,99.6,85,85,85,0.00094,0.00101,0.001016,0.000858,0.00134,0.00131,0.001298,0.0012,6434,6615,89,8.9,0.001418,0.0008,89199.096,47.5,92.5,99.6,85,85,85,0.00094,0.00101,0.001016,0.000858,0.00134,0.00131,0.001298,0.0012,,,89,8.9,,,14-10-2018,6168.4,6050.311019,118.09
250,250,,,0.001412,0.0008,89634.594,47.5,92.5,99,85,85,85,0.00094,0.00101,0.001032,0.000876,0.001338,0.001304,0.001292,0.001198,6434,6615,89,8.9,0.001412,0.0008,89634.594,47.5,92.5,99,85,85,85,0.00094,0.00101,0.001032,0.000876,0.001338,0.001304,0.001292,0.001198,,,89,8.9,,,21-10-2018,6196,6025.73416,170.27
251,251,,,0.001398,0.0008,89764.604,46.3,92.5,96,85,85,85,0.000932,0.001002,0.001034,0.000874,0.001318,0.001282,0.00127,0.00118,6434,6615,88.04,8.804,0.001398,0.0008,89764.604,46.3,92.5,96,85,85,85,0.000932,0.001002,0.001034,0.000874,0.001318,0.001282,0.00127,0.00118,6434,6615,88.04,8.804,,,28-10-2018,6207.8,5968.388154,239.41
252,252,,,0.0014,0.0008,87390.568,46,92.5,92.6,85,85,85,0.00092,0.00099,0.00103,0.00087,0.001324,0.00129,0.001278,0.00119,6434,6615,87.4,8.74,0.0014,0.0008,87390.568,46,92.5,92.6,85,85,85,0.00092,0.00099,0.00103,0.00087,0.001324,0.00129,0.001278,0.00119,,,87.4,8.74,,,04-11-2018,6254.4,5976.580441,277.82
253,253,,,0.0014,0.0008,87948.356,45.2,92.5,88.4,85,85,85,0.000924,0.000994,0.00103,0.000876,0.001324,0.001286,0.00128,0.001192,6434,6615,87.16,8.716,0.0014,0.0008,87948.356,45.2,92.5,88.4,85,85,85,0.000924,0.000994,0.00103,0.000876,0.001324,0.001286,0.00128,0.001192,,,87.16,8.716,,,11-11-2018,6172.6,5976.580441,196.02
254,254,,,0.00143,0.0008,87311.518,45,92.5,83.2,85,85,85,0.00093,0.001,0.00103,0.00088,0.001364,0.001324,0.001316,0.001228,6434,6615,86.8,8.68,0.00143,0.0008,87311.518,45,92.5,83.2,85,85,85,0.00093,0.001,0.00103,0.00088,0.001364,0.001324,0.001316,0.001228,,,86.8,8.68,,,18-11-2018,6244,6099.464738,144.54
255,255,,,0.001418,0.0008,85923.502,45,92.5,72,85,85,85,0.00093,0.001,0.001042,0.00088,0.001354,0.001314,0.001308,0.00122,6434,6615,87.2,8.72,0.001418,0.0008,85923.502,45,92.5,72,85,85,85,0.00093,0.001,0.001042,0.00088,0.001354,0.001314,0.001308,0.00122,6434,6615,87.2,8.72,,,25-11-2018,6226.6,6050.311019,176.29
256,256,,,0.00142,0.0008,85761.244,45,92.5,68.2,85,82.2,85,0.00094,0.00101,0.001044,0.00088,0.001346,0.001308,0.001302,0.00122,5984,5874,88.8,8.88,0.00142,0.0008,85761.244,45,92.5,68.2,85,82.2,85,0.00094,0.00101,0.001044,0.00088,0.001346,0.001308,0.001302,0.00122,,,88.8,8.88,,,02-12-2018,6206.4,6058.503306,147.90
257,257,,,0.001416,0.0008,87402.766,45,90.5,65.7,85,81.5,85,0.00094,0.00101,0.00104,0.00088,0.001338,0.001298,0.001294,0.001216,5984,5874,88.28,8.828,0.001416,0.0008,87402.766,45,90.5,65.7,85,81.5,85,0.00094,0.00101,0.00104,0.00088,0.001338,0.001298,0.001294,0.001216,,,88.28,8.828,,,09-12-2018,6145.2,6042.118733,103.08
258,258,,,0.00139,0.0008,86312.268,45,90,65.6,85,81.5,85,0.00094,0.00101,0.00104,0.00088,0.001312,0.00127,0.001262,0.001186,5984,5874,86.2,8.62,0.00139,0.0008,86312.268,45,90,65.6,85,81.5,85,0.00094,0.00101,0.00104,0.00088,0.001312,0.00127,0.001262,0.001186,,,86.2,8.62,,,16-12-2018,6025.4,5935.619008,89.78
259,259,,,0.001376,0.0008,86611.352,45,90,66,85,81.5,85,0.00094,0.00101,0.00104,0.00088,0.001298,0.001256,0.001248,0.001168,5984,5874,86.2,8.62,0.001376,0.0008,86611.352,45,90,66,85,81.5,85,0.00094,0.00101,0.00104,0.00088,0.001298,0.001256,0.001248,0.001168,,,86.2,8.62,,,23-12-2018,5979.666667,5878.273003,101.39
260,260,,,0.001346,0.0008,84798.792,45,90,67.9,85,81.5,85,0.000922,0.000992,0.001034,0.00088,0.001268,0.001236,0.001226,0.00114,5984,5874,84.3,8.43,0.001346,0.0008,84798.792,45,90,67.9,85,81.5,85,0.000922,0.000992,0.001034,0.00088,0.001268,0.001236,0.001226,0.00114,5984,5874,84.3,8.43,,,30-12-2018,5863.75,5755.388705,108.36
261,261,,,0.00136,0.0008,82205.42,45,90,70.75,85,81.5,85,0.00091,0.00098,0.00103,0.00088,0.00128,0.00125,0.00124,0.00116,5984,5874,84.3,8.43,0.00136,0.0008,82205.42,45,90,70.75,85,81.5,85,0.00091,0.00098,0.00103,0.00088,0.00128,0.00125,0.00124,0.00116,,,84.3,8.43,,,06-01-2019,5918.2,5812.734711,105.47
262,262,,,0.00136,0.0008,82205.42,45,90,70.75,85,81.5,85,0.00091,0.00098,0.00103,0.00088,0.00128,0.00125,0.00124,0.00116,5984,5874,84.3,8.43,,,,,,,,,,,,,,,,,,,,,,,,13-01-2019,5921.8,5812.734711,109.07
