Date,Spot
2011-01-30,9888.4
2011-02-06,9974.3
2011-02-13,9957.1
2011-02-20,9623.1
2011-02-27,9889.2
2011-03-06,9422.8
2011-03-13,9301.0
2011-03-20,9616.7
2011-03-27,9450.0
2011-04-03,9533.4
2011-04-10,9564.8
2011-04-17,9424.25
2011-04-24,9391.5
2011-05-01,8999.375
2011-05-08,8797.6
2011-05-15,8891.7
2011-05-22,8974.6
2011-05-29,9112.25
2011-06-05,9022.3
2011-06-12,9033.0
2011-06-19,9005.0
2011-06-26,9175.6
2011-07-03,9499.7
2011-07-10,9595.2
2011-07-17,9703.1
2011-07-24,9721.8
2011-07-31,9529.7
2011-08-07,8879.3
2011-08-14,8807.7
2011-08-21,8900.0
2011-08-28,9119.125
2011-09-04,8954.1
2011-09-11,8722.7
2011-09-18,8022.8
2011-09-25,7255.4
2011-10-02,6951.2
2011-10-09,7355.4
2011-10-16,7224.2
2011-10-23,7742.6
2011-10-30,7849.5
2011-11-06,7635.0
2011-11-13,7607.9
2011-11-20,7268.6
2011-11-27,7585.1
2011-12-04,7804.2
2011-12-11,7413.1
2011-12-18,7411.9
2011-12-25,7476.0
2012-01-01,7574.75
2012-01-08,7749.0
2012-01-15,8188.6
2012-01-22,8408.2
2012-01-29,8379.0
2012-02-05,8499.2
2012-02-12,8378.4
2012-02-19,8359.8
2012-02-26,8564.8
2012-03-04,8375.8
2012-03-11,8502.1
2012-03-18,8440.6
2012-03-25,8463.5
2012-04-01,8468.125
2012-04-08,8180.375
2012-04-15,8081.1
2012-04-22,8280.8
2012-04-29,8414.5
2012-05-06,8149.625
2012-05-13,7809.5
2012-05-20,7712.4
2012-05-27,7570.3
2012-06-03,7397.166666666667
2012-06-10,7415.0
2012-06-17,7456.5
2012-06-24,7413.8
2012-07-01,7696.3
2012-07-08,7560.3
2012-07-15,7658.6
2012-07-22,7457.9
2012-07-29,7462.9
2012-08-05,7483.7
2012-08-12,7420.3
2012-08-19,7556.5
2012-08-26,7579.5
2012-09-02,7682.2
2012-09-09,8133.7
2012-09-16,8264.8
2012-09-23,8192.8
2012-09-30,8286.3
2012-10-07,8166.3
2012-10-14,8143.0
2012-10-21,7864.4
2012-10-28,7775.1
2012-11-04,7613.1
2012-11-11,7609.3
2012-11-18,7699.7
2012-11-25,7817.1
2012-12-02,7994.9
2012-12-09,8066.3
2012-12-16,7909.3
2012-12-23,7840.5
2012-12-30,8027.166666666667
2013-01-06,8058.6
2013-01-13,7973.7
2013-01-20,8060.0
2013-01-27,8106.2
2013-02-03,8219.1
2013-02-10,8203.4
2013-02-17,7965.5
2013-02-24,7786.0
2013-03-03,7714.3
2013-03-10,7762.7
2013-03-17,7573.4
2013-03-24,7596.375
2013-03-31,7388.125
2013-04-07,7502.0
2013-04-14,7068.8
2013-04-21,6942.3
2013-04-28,7004.0
2013-05-05,7317.0
2013-05-12,7213.3
2013-05-19,7333.1
2013-05-26,7236.25
2013-06-02,7336.5
2013-06-09,7068.9
2013-06-16,6909.7
2013-06-23,6701.1
2013-06-30,6912.1
2013-07-07,6836.5
2013-07-14,6905.5
2013-07-21,6970.1
2013-07-28,6887.1
2013-08-04,7035.3
2013-08-11,7272.6
2013-08-18,7285.6
2013-08-25,7228.5
2013-09-01,7151.6
2013-09-08,7119.7
2013-09-15,7158.7
2013-09-22,7189.9
2013-09-29,7205.8
2013-10-06,7156.2
2013-10-13,7192.7
2013-10-20,7194.4
2013-10-27,7228.3
2013-11-03,7152.6
2013-11-10,7037.4
2013-11-17,6996.8
2013-11-24,7041.0
2013-12-01,7024.5
2013-12-08,7184.9
2013-12-15,7264.9
2013-12-22,7302.0
2013-12-29,7389.125
2014-01-05,7320.2
2014-01-12,7336.5
2014-01-19,7304.8
2014-01-26,7181.0
2014-02-02,7121.5
2014-02-09,7163.5
2014-02-16,7206.3
2014-02-23,7117.3
2014-03-02,7031.0
2014-03-09,6583.9
2014-03-16,6488.3
2014-03-23,6574.5
2014-03-30,6652.8
2014-04-06,6643.3
2014-04-13,6626.5
2014-04-20,6697.5
2014-04-27,6729.1
2014-05-04,6722.125
2014-05-11,6938.0
2014-05-18,6941.8
2014-05-25,7005.125
2014-06-01,6845.7
2014-06-08,6689.8
2014-06-15,6738.6
2014-06-22,6920.5
2014-06-29,7060.0
2014-07-06,7141.9
2014-07-13,7085.2
2014-07-20,7089.9
2014-07-27,7110.3
2014-08-03,7040.0
2014-08-10,6940.1
2014-08-17,6971.5
2014-08-24,7043.75
2014-08-31,6959.8
2014-09-07,6912.0
2014-09-14,6898.5
2014-09-21,6773.2
2014-09-28,6717.0
2014-10-05,6729.3
2014-10-12,6724.5
2014-10-19,6696.7
2014-10-26,6827.1
2014-11-02,6710.8
2014-11-09,6725.3
2014-11-16,6725.8
2014-11-23,6642.6
2014-11-30,6463.6
2014-12-07,6468.1
2014-12-14,6410.4
2014-12-21,6383.5
2014-12-28,6332.5
2015-01-04,6191.7
2015-01-11,5810.4
2015-01-18,5677.0
2015-01-25,5485.6
2015-02-01,5645.1
2015-02-08,5665.7
2015-02-15,5698.9
2015-02-22,5798.6
2015-03-01,5863.1
2015-03-08,5819.0
2015-03-15,5813.1
2015-03-22,6146.4
2015-03-29,6036.6
2015-04-05,6040.5
2015-04-12,5996.7
2015-04-19,5972.9
2015-04-26,6172.3
2015-05-03,6401.2
2015-05-10,6396.4
2015-05-17,6259.7
2015-05-24,6124.5
2015-05-31,5967.9
2015-06-07,5948.8
2015-06-14,5737.1
2015-06-21,5716.5
2015-06-28,5753.2
2015-07-05,5504.6
2015-07-12,5540.0
2015-07-19,5363.1
2015-07-26,5238.5
2015-08-02,5172.8
2015-08-09,5139.4
2015-08-16,5042.9
2015-08-23,5000.6
2015-08-30,5137.2
2015-09-06,5314.8
2015-09-13,5338.2
2015-09-20,5130.8
2015-09-27,5065.4
2015-10-04,5207.9
2015-10-11,5297.5
2015-10-18,5236.7
2015-10-25,5185.6
2015-11-01,5101.0
2015-11-08,4910.4
2015-11-15,4686.8
2015-11-22,4577.3
2015-11-29,4593.1
2015-12-06,4603.8
2015-12-13,4601.8
2015-12-20,4674.9
2015-12-27,4693.9
2016-01-03,4578.5
2016-01-10,4362.7
2016-01-17,4398.3
2016-01-24,4511.5
2016-01-31,4614.4
2016-02-07,4514.5
2016-02-14,4574.9
2016-02-21,4656.2
2016-02-28,4791.8
2016-03-06,4955.5
2016-03-13,4998.2
2016-03-20,5014.4
2016-03-27,4909.2
2016-04-03,4747.2
2016-04-10,4768.5
2016-04-17,4917.9
2016-04-24,4965.1
2016-05-01,4906.6
2016-05-08,4720.3
2016-05-15,4620.3
